parent,child,child_words
people,aunt,aunt
people,aunt,aunts
people,boy,boy
people,boy,boys
people,child,child
people,child,children
people,daughter,daughter
people,daughter,daughters
people,family,family
people,family,families
people,father,dad
people,father,dads
people,father,papa
people,father,papas
people,father,father
people,father,fathers
people,girl,girl
people,girl,girls
people,grandma,grandma
people,grandma,grandmas
people,grandma,grandmother
people,grandma,grandmothers
people,grandpa,grandpa
people,grandpa,grandpas
people,grandpa,grandfather
people,grandpa,grandfathers
people,human,human
people,human,humans
people,man,man
people,man,men
people,mother,mom
people,mother,moms
people,mother,ma
people,mother,mamas
people,mother,mother
people,mother,mothers
people,son,son
people,son,sons
people,team,team
people,team,teams
people,uncle,uncle
people,uncle,uncles
people,woman,woman
people,woman,women
places,city,city
places,city,cities
places,home,home
places,home,homes
places,school,school
places,school,schools
places,town,town
places,town,towns
places,world,world
places,world,worlds
events,death,death
events,death,deaths
events,death,dying
events,war,war
events,war,wars
