parent,child,child_words
people,grandpa,grandpa
people,grandpa,grandpas
people,grandpa,grandfather
people,grandpa,grandfathers
people,grandma,grandma
people,grandma,grandmas
people,grandma,grandmother
people,grandma,grandmothers
people,aunt,aunt
people,aunt,aunts
people,uncle,uncle
people,uncle,uncles
people,human,human
people,human,humans
people,family,family
people,family,families
people,man,man
people,man,men
people,woman,woman
people,woman,women
people,boy,boy
people,boy,boys
people,girl,girl
people,girl,girls
people,child,child
people,child,children
people,son,son
people,son,sons
people,daughter,daughter
people,daughter,daughters
people,mother,mother
people,mother,mothers
people,father,father
people,father,fathers
people,team,team
people,team,teams
places,town,town
places,town,towns
places,city,city
places,city,cities
places,home,home
places,home,homes
places,school,school
places,school,schools
places,world,world
places,world,worlds
events,war,war
events,war,wars
events,death,death
events,death,deaths
events,birth,birth
events,birth,births
events,birth,born
events,death,dying
